Español,Ingles,Arabe,Pronunciacion,Categoria
Elefante,Elephant,فيل,fil,Animal
Perro,Dog,كلب,kalb,Animal
Gato,Cat,قط,qiṭ,Animal
León,Lion,أسد,asad,Animal
Tigre,Tiger,نمر,namir,Animal
Oso,Bear,دب,dubb,Animal
Cebra,Zebra,حمار وحشي,ḥimar waḥshi,Animal
Jirafa,Giraffe,زرافة,zarafa,Animal
Mono,Monkey,قرد,qird,Animal
Ratón,Mouse,فأر,far,Animal
Vaca,Cow,بقرة,baqara,Animal
Caballo,Horse,حصان,ḥiṣan,Animal
Conejo,Rabbit,أرنب,arnab,Animal
Canguro,Kangaroo,كنغر,kangar,Animal
Camello,Camel,جمل,jamal,Animal
Cocodrilo,Crocodile,تمساح,timsāḥ,Animal
Pato,Duck,بط,baṭ,Animal
Águila,Eagle,نسر,nasr,Animal
Búho,Owl,بومة,buma,Animal
Pájaro,Bird,طائر,ṭair,Animal
Vibora,Snake,ثعبان,ṯaeban,Animal
Tortuga,Turtle,سلحفاة,sulḥafat,Animal
Cabra,Goat,ماعز,maeiz,Animal
Cerdo,Pig,خنزير,xinzir,Animal
Rana,Frog,ضفدع,difda,Animal
Burro,Donkey,حمار,ḥimar,Animal
Murciélago,Bat,وطواط,watwat,Animal
Hormiga,Ant,نملة,namla,Animal
Araña,Spider,عنكبوت,ankabut,Animal
Mosca,Fly,ذبابة,dhubaba,Animal
Abeja,Bee,نحلة,nahl,Animal
Mariposa,Butterfly,فراشة,farasha,Animal
Insecto,Insect,حشرة,ḥashara,Animal
Lobo,Wolf,ذئب di-b,Animal
Zorro,Fox,ثعلب,tealab,Animal
Animal,Animal,حيوان,hayawan,Animal
Pez,Fish,سمك,samak,Animal
Ballena,Whale,حوت,hut,Animal
Tiburón,Shark,قرش,qirsh,Animal
Delfín,Dolphin,دلفين,dalfin,Animal
Estrella de mar,Starfish,نجم البحر,najm albahar,Animal
Pulpo,Octopus,أخطبوط,akhṭabut,Animal
Oveja,Sheep,غنم,ghanam,Animal
Comer,Eat,أكل,akala,Verbo
Beber,Drink,شرب,shariba,Verbo
Dormir,Sleep,نام,nama,Verbo
Correr,Run,ركض,rakad,Verbo
Caminar,Walk,مشى,masha,Verbo
Saltar,Jump,قفز,qafaza,Verbo
Ver,See,رأى,raa,Verbo
Volar,Fly,طار,tara,Verbo
Nadar,Swim,سبح,sabah,Verbo
Escuchar,Listen,استمع,istama,Verbo
Hablar,Speak,تكلم,takalam,Verbo
Gritar,Shout,صرخ,sarakh,Verbo
Reír,Laugh,ضحك,dahak,Verbo
Llorar,Cry,بكى,baka,Verbo
Ir,Go,ذهب,zahaba,Verbo
Venir,Come,جاء,jaa,Verbo
Sentarse,Sit,جلس,jalasa,Verbo
Recordar,Remember,تذكر,tadhakar,Verbo
Estudiar,Study,درس,daras,Verbo
Despertar,Wake up,صحي,sahi,Verbo
Conocer,Know,عرف,arafa,Verbo
Olvidar,Forget,نسي,nasi,Verbo
Leer,Read,قرأ,akra,Verbo
Escribir,Write,كتب,katab,Verbo
Vivir,Live,عاش,aasha,Verbo
Comprar,Buy,اشترى,ichtara,Verbo
Cocinar,Cook,طبخ,tabakh,Verbo
Jugar,Play,لعب,laba,Verbo
Trabajar,Work,عمل,aamal,Verbo
Querer,Want,أراد,arada,Verbo
Poder,Can,استطاع,istaata,Verbo
Manejar,Drive,قاد,qad,Verbo
Pensar,Think,فكر,fakar,Verbo
Gustar,Like,أحب,ahab,Verbo
Escuela,School,مدرسة,madrasa,Lugares
Casa,House,بيت,bait,Lugares
Hospital,Hospital,مستشفى,mustashfa,Lugares
Tienda,Shop,محل,mahal,Lugares
Cine,Cinema,سينما,sinema,Lugares
Teatro,Theater,مسرح,masrah,Lugares
Banco,Bank,بنك,bank,Lugares
Restaurante,Restaurant,مطعم,matam,Lugares
Hotel,Hotel,فندق,funduq,Lugares
Parque,Park,حديقة,hadiqa,Lugares
Playa,Beach,شاطئ,shati,Lugares
Montaña,Mountain,جبل,jabal,Lugares
Río,River,نهر,nahr,Lugares
Lago,Lake,بحيرة,buhayra,Lugares
Mar,Sea,بحر,bahr,Lugares
Mezquita,Mosque,مسجد,masjid,Lugares
