Español,weight_to_sample
Elefante,1.0
Perro,1.0
Gato,1.0
León,1.0
Tigre,1.0
Oso,1.0
Cebra,1.0
Jirafa,1.0
Mono,1.0
Ratón,1.0
Vaca,1.0
Caballo,1.0
Conejo,1.0
Canguro,1.0
Camello,1.0
Cocodrilo,1.0
Pato,1.0
Águila,1.0
Búho,1.0
Pájaro,1.0
Vibora,1.0
Tortuga,1.0
Cabra,1.0
Cerdo,1.0
Rana,1.0
Burro,1.0
Murciélago,1.0
Hormiga,1.0
Araña,1.0
Mosca,1.0
Abeja,1.0
Mariposa,1.0
Insecto,1.0
Zorro,1.0
Animal,1.0
Pez,1.0
Ballena,1.0
Tiburón,1.0
Delfín,1.0
Estrella de mar,1.0
Pulpo,1.0
Oveja,1.0
Comer,1.0
Beber,1.0
Dormir,1.0
Correr,1.0
Caminar,1.0
Saltar,1.0
Ver,1.0
Volar,1.0
Nadar,1.0
Escuchar,1.0
Hablar,1.0
Gritar,1.0
Reír,1.0
Llorar,1.0
Ir,1.0
Venir,1.0
Sentarse,1.0
Recordar,1.0
Estudiar,1.0
Despertar,1.0
Conocer,1.0
Olvidar,1.0
Leer,1.0
Escribir,1.0
Vivir,1.0
Comprar,1.0
Cocinar,1.0
Jugar,1.0
Trabajar,1.0
Querer,1.0
Poder,1.0
Manejar,1.0
Pensar,1.0
Gustar,1.0
Escuela,1.0
Casa,1.0
Hospital,1.0
Tienda,1.0
Cine,1.0
Teatro,1.0
Banco,1.0
Restaurante,1.0
Hotel,1.0
Parque,1.0
Playa,1.0
Montaña,1.0
Río,1.0
Lago,1.0
Mar,1.0
Mezquita,1.0
Iglesia,1.0
Cafetería,1.0
Universidad,1.0
Aeropuerto,1.0
Farmacia,1.0
Biblioteca,1.0
Supermercado,1.0
Museo,1.0
Carro,1.0
Avión,1.0
Tren,1.0
Barco,1.0
Bicicleta,1.0
Manzana,1.0
Plátano,1.0
Naranja,1.0
Naranja,1.0
Naranja,1.0
Naranja,1.0
Uva,1.0
Fresa,1.0
Sandía,1.0
Melón,1.0
Pera,1.0
Mango,1.0
Piña,1.0
Cereza,1.0
Limón,1.0
Papaya,1.0
Calabaza,1.0
Zanahoria,1.0
Papa,1.0
Tomate,1.0
Pepino,1.0
Espinaca,1.0
Lechuga,1.0
Repollo,1.0
Brócoli,1.0
Coliflor,1.0
Ajo,1.0
Cebolla,1.0
Pimiento,1.0
Mora,1.0
Fruta,1.0
Verdura,1.0
Berenjena,1.0
Pastel,1.0
Helado,1.0
Chocolate,1.0
Galleta,1.0
Pan,1.0
Arroz,1.0
Carne,1.0
Pollo,1.0
Pescado,1.0
Huevo,1.0
Queso,1.0
Leche,1.0
Agua,1.0
Jugo,1.0
Té,1.0
Café,1.0
Café,1.0
Café,1.0
Café,1.0
Sopa,1.0
Miel,1.0
Azucar,1.0
Aceituana,1.0
Sal,1.0
Comida,1.0
Bebida,1.0
Pasta,1.0
Pizza,1.0
Hamburguesa,1.0
Sándwich,1.0
Ensalada,1.0
Yogur,1.0
Salsa,1.0
Feliz,0.98
Hambriento,1.0
Limpio,1.0
Limpio,1.0
Limpio,1.0
Limpio,1.0
Sucio,1.0
Sucio,1.0
Sucio,1.0
Sucio,1.0
Mojado,1.0
Seco,1.0
Enojado,1.0
Contento,1.0
Asustado,0.98
Valiente,1.0
Tranquilo,1.0
Cobarde,1.0
Flaco,1.0
Flojo,1.0
Educado,1.0
Grosero,1.0
Rico,1.0
Pobre ($),1.0
Pobre,1.0
Vacío,1.0
Triste,0.96
Enfermo,1.0
Sano,1.0
Cansado,1.0
Despierto,1.25
Dormido,1.0
Caliente,1.0
Frío,1.0
Rápido,0.98
Lento,1.0
Alto,1.0
Bajo,1.0
Gordo,1.0
Delgado,1.0
Fuerte,1.0
Débil,1.0
Bueno,1.0
Malo,1.0
Nuevo,1.0
Viejo,1.0
Grande,1.0
Pequeño,1.0
Limpio,1.0
Limpio,0.98
Limpio,1.0
Limpio,1.0
Sucio,1.0
Sucio,1.0
Sucio,1.0
Sucio,1.0
Bonito,0.98
Feo,1.0
Caro,1.0
Barato,1.0
Fácil,1.0
Difícil,1.0
Abierto,1.0
Cerrado,1.0
Azul,1.0
Rojo,1.0
Amarillo,1.0
Verde,1.0
Blanco,1.0
Negro,1.0
Naranja,1.0
Naranja,1.0
Naranja,1.0
Naranja,1.0
Café,1.0
Café,1.0
Café,1.0
Café,1.0
Rosa,1.0
Morado,1.0
Gris,1.0
